Index,日期(Date),時間(Time),結果,濃度,空白
1,2026/07/30,14:38:30,0,45.33,0
2,2026/07/30,14:39:09,0,45.33,0
3,2026/07/30,14:40:24,0,30.31,0
4,2026/07/30,15:14:40,0,89088,0
5,2026/07/30,15:15:35,0,12.33,0
6,2026/07/30,15:16:13,0,12.33,0
7,2026/07/30,17:14:13,0,12.33,0
8,2026/07/30,17:14:16,0,12.33,0
9,2026/07/30,17:14:18,0,12.33,0
10,2026/07/30,17:14:21,0,12.33,0
11,2026/07/30,17:14:23,0,12.33,0
12,2026/07/30,17:16:31,0,12.33,0
13,2026/07/30,17:18:37,0,12.33,0
14,2026/07/30,17:19:26,0,12.33,0
15,2026/07/30,17:23:31,0,12.33,0
16,2026/07/30,17:24:04,0,12.33,0
17,2026/07/30,17:24:47,0,12.33,0
18,2026/07/30,23:53:23,0,12.33,0
19,2026/07/30,23:58:32,0,12.33,0
