Index,日期(Date),時間(Time),結果,濃度,空白
1,2026/09/01,21:20:01,25.3611,72.362,0
2,2026/09/01,21:22:48,25.3611,72.362,0
3,2026/09/01,21:23:55,25.3611,72.362,0
4,2026/09/01,21:24:38,25.3611,72.362,0
5,2026/09/01,21:25:52,25.3611,72.362,0
6,2026/09/01,21:26:44,25.3611,72.362,0
7,2026/09/01,21:28:30,25.3611,72.362,0
8,2026/09/01,21:29:16,25.3611,72.362,0
9,2026/09/01,21:29:40,25.3611,72.362,0
10,2026/09/01,21:30:02,25.3611,72.362,0
11,2026/09/01,21:30:58,25.3611,72.362,0
12,2026/09/01,23:59:53,25.3611,72.362,0
13,2026/09/01,23:59:14,25.3611,72.362,0
14,2026/09/01,23:59:54,25.3611,72.362,0
15,2026/09/01,23:59:04,25.3611,72.362,0
16,2026/09/01,23:59:50,25.3611,72.362,0
17,2026/09/01,21:56:46,25.3611,72.362,0
